course_id;course_name;student_id;tarefas_disciplina;tarefas_enviadas_pelo_aluno;envios_em_dia;envios_atrasados;media_notas_tarefas;posts_disciplina;posts_criados_pelo_aluno;posts_respondidos_pelo_aluno;quizzes_disciplina;quizzes_finalizados_pelo_aluno;quizzes_atrasados_pelo_aluno;quizzes_abandonados_pelo_aluno;media_tempo_conclusao_quiz;media_notas_quiz;nota_final
2;Curso Teste para TCC;66389;4;1;1;0;-1.00;95;0;0;3;4;0;0;2541.0;8.91;-1.00
3;Curso Teste Para TCC2;10759;4;1;0;1;6.50;95;0;1;3;0;0;0;;;6.25
2;Curso Teste para TCC;88539;4;0;0;0;-1.00;95;0;0;3;3;0;0;349276.0;8.43;-1.00
2;Curso Teste para TCC;70350;4;2;2;0;-1.00;95;0;2;3;3;0;0;3531.0;9.05;-1.00
2;Curso Teste para TCC;23832;4;1;1;0;-1.00;95;0;0;3;3;0;0;347853.0;8.50;-1.00
2;Curso Teste para TCC;33927;4;2;2;0;-1.00;95;0;0;3;4;0;0;4593.0;7.59;-1.00
2;Curso Teste para TCC;41194;4;0;0;0;-1.00;95;0;0;3;0;0;0;;;-1.00
3;Curso Teste Para TCC2;28276;4;0;0;0;-1.00;95;0;0;3;0;0;0;;;-1.00
3;Curso Teste Para TCC2;85489;4;1;1;0;9.50;95;4;4;3;0;0;0;;;9.08
3;Curso Teste Para TCC2;1903;4;0;0;0;-1.00;95;0;10;3;0;0;0;;;0.00
3;Curso Teste Para TCC2;32395;4;0;0;0;-1.00;95;0;0;3;0;0;0;;;0.00
3;Curso Teste Para TCC2;63047;4;1;1;0;9.25;95;0;0;3;0;0;0;;;8.74
3;Curso Teste Para TCC2;52811;4;1;0;1;6.00;95;0;0;3;0;0;0;;;6.83
3;Curso Teste Para TCC2;14023;4;1;0;1;9.35;95;0;0;3;0;0;0;;;7.59
3;Curso Teste Para TCC2;41982;4;1;1;0;9.90;95;1;0;3;0;0;0;;;9.00
3;Curso Teste Para TCC2;4003;4;2;1;1;5.50;95;0;0;3;0;0;0;;;6.00
3;Curso Teste Para TCC2;80868;4;1;0;1;9.35;95;0;0;3;0;0;0;;;7.84
3;Curso Teste Para TCC2;78873;4;1;1;0;6.00;95;0;0;3;0;0;0;;;6.00
3;Curso Teste Para TCC2;40728;4;1;1;0;8.25;95;0;0;3;0;0;0;;;9.13
3;Curso Teste Para TCC2;89309;4;1;0;1;9.25;95;1;0;3;0;0;0;;;7.26
3;Curso Teste Para TCC2;90648;4;1;0;1;8.00;95;0;0;3;0;0;0;;;8.00
3;Curso Teste Para TCC2;61803;4;1;1;0;8.00;95;0;0;3;0;0;0;;;8.00
3;Curso Teste Para TCC2;36534;4;1;0;1;8.65;95;0;0;3;0;0;0;;;7.99
3;Curso Teste Para TCC2;54757;4;1;0;1;9.50;95;0;0;3;0;0;0;;;9.00
3;Curso Teste Para TCC2;90122;4;1;0;1;8.65;95;0;0;3;0;0;0;;;7.55
3;Curso Teste Para TCC2;48116;4;1;0;1;9.25;95;1;0;3;0;0;0;;;7.98
3;Curso Teste Para TCC2;29632;4;1;0;1;9.35;95;1;0;3;0;0;0;;;7.51
3;Curso Teste Para TCC2;92112;4;2;1;1;3.33;95;1;0;3;0;0;0;;;6.00
3;Curso Teste Para TCC2;69909;4;1;0;1;5.50;95;0;0;3;0;0;0;;;6.36
3;Curso Teste Para TCC2;37207;4;1;0;1;8.25;95;0;0;3;0;0;0;;;8.39
3;Curso Teste Para TCC2;5289;4;2;2;0;5.50;95;0;0;3;0;0;0;;;6.00
3;Curso Teste Para TCC2;30319;4;1;0;1;8.25;95;0;0;3;0;0;0;;;8.13
3;Curso Teste Para TCC2;43296;4;1;0;1;6.75;95;0;0;3;0;0;0;;;7.04
3;Curso Teste Para TCC2;90322;4;1;1;0;8.25;95;0;0;3;0;0;0;;;8.29
3;Curso Teste Para TCC2;14298;4;2;1;1;5.75;95;0;0;3;0;0;0;;;6.00
3;Curso Teste Para TCC2;25549;4;0;0;0;-1.00;95;0;0;3;0;0;0;;;3.33
3;Curso Teste Para TCC2;25595;4;1;0;1;8.40;95;0;0;3;0;0;0;;;8.37
3;Curso Teste Para TCC2;19247;4;1;1;0;9.35;95;1;0;3;0;0;0;;;8.36
3;Curso Teste Para TCC2;47202;4;1;0;1;9.65;95;0;0;3;0;0;0;;;9.00
3;Curso Teste Para TCC2;636;4;2;1;1;4.83;95;2;1;3;0;0;0;;;6.00
3;Curso Teste Para TCC2;25803;4;2;1;1;3.33;95;1;0;3;0;0;0;;;6.00
3;Curso Teste Para TCC2;81532;4;2;1;1;8.40;95;0;0;3;0;0;0;;;7.03
3;Curso Teste Para TCC2;77269;4;1;0;1;9.90;95;0;0;3;0;0;0;;;8.45
3;Curso Teste Para TCC2;19095;4;1;1;0;8.40;95;0;0;3;0;0;0;;;7.90
3;Curso Teste Para TCC2;62159;4;1;0;1;6.50;95;1;2;3;0;0;0;;;7.08
3;Curso Teste Para TCC2;11518;4;0;0;0;-1.00;95;0;0;3;0;0;0;;;0.00
3;Curso Teste Para TCC2;85743;4;1;1;0;9.65;95;0;0;3;0;0;0;;;8.55
3;Curso Teste Para TCC2;50001;4;2;2;0;6.40;95;0;0;3;0;0;0;;;6.00
3;Curso Teste Para TCC2;35740;4;1;1;0;6.00;95;0;0;3;0;0;0;;;6.00
3;Curso Teste Para TCC2;77690;4;2;2;0;5.50;95;0;0;3;0;0;0;;;6.00
3;Curso Teste Para TCC2;55333;4;0;0;0;-1.00;95;0;0;3;0;0;0;;;0.00
3;Curso Teste Para TCC2;72521;4;1;1;0;8.65;95;2;4;3;0;0;0;;;8.16
3;Curso Teste Para TCC2;73244;4;1;1;0;6.00;95;0;0;3;0;0;0;;;6.00
3;Curso Teste Para TCC2;77320;4;1;1;0;9.25;95;1;0;3;0;0;0;;;8.13
3;Curso Teste Para TCC2;17190;4;2;0;2;-1.00;95;0;0;3;0;0;0;;;1.47
3;Curso Teste Para TCC2;35316;4;1;0;1;9.50;95;0;0;3;0;0;0;;;9.08
3;Curso Teste Para TCC2;88830;4;1;1;0;6.75;95;0;0;3;0;0;0;;;7.30
3;Curso Teste Para TCC2;65260;4;1;1;0;6.00;95;0;0;3;0;0;0;;;6.00
3;Curso Teste Para TCC2;44457;4;1;0;1;5.50;95;0;0;3;0;0;0;;;7.08
3;Curso Teste Para TCC2;62065;4;1;0;1;5.50;95;0;0;3;0;0;0;;;6.00
3;Curso Teste Para TCC2;47763;4;1;0;1;5.75;95;0;0;3;0;0;0;;;7.21
3;Curso Teste Para TCC2;17188;4;1;0;1;8.65;95;0;0;3;0;0;0;;;7.33
3;Curso Teste Para TCC2;24371;4;1;0;1;5.75;95;0;0;3;0;0;0;;;6.21
